scheme,runs,overall_mean,overall_std,combined_mean,combined_std,contrast_mean,contrast_std,best_overall,best_contrast,delta_contrast_vs_random,delta_contrast_vs_static
1) AI General Search,16,30.223750000000003,1.1429603376028978,39.15875,1.0017775867593215,47.514143339768346,3.39402917617555,34.08,59.54,0.1287962478358935,3.4924020170666594
2) AI Prompt-Iterative,16,30.0975,1.455121988013375,38.939375,1.3484203206386018,50.06628048780488,4.569508201898528,34.08,62.53999999999999,2.6809333958724295,6.044539165103195
3) Random Baseline,16,28.9725,2.425155665106882,38.05945283882784,2.321790530199371,47.38534709193245,7.7484119770189075,30.1,54.50121951219512,0.0,3.363605769230766
4) Static Baseline,16,27.97125,4.168900534513467,37.10095238095238,3.90075455227543,44.021741322701686,13.149805938530296,30.1,54.50121951219512,-3.363605769230766,0.0
