route,round,n_runs,mean_contrast,median_contrast,best_contrast,worst_contrast,std_contrast,best_so_far,mean_overall,best_overall
AI General Search,1,4,50.142094594594596,47.00945945945946,59.54,47.00945945945946,5.425883215629451,59.54,31.095,34.08
AI General Search,2,4,47.00945945945946,47.00945945945946,47.00945945945946,47.00945945945946,0.0,59.54,30.1,30.1
AI General Search,3,4,45.895559845559845,47.00945945945946,47.00945945945946,42.553861003861,1.9293307258054866,59.54,29.6,30.1
AI General Search,4,4,47.00945945945946,47.00945945945946,47.00945945945946,47.00945945945946,0.0,59.54,30.1,30.1
AI Prompt-Iterative,1,4,48.3060975609756,50.3060975609756,50.3060975609756,42.30609756097561,3.4641016151377517,50.3060975609756,29.6,30.1
AI Prompt-Iterative,2,4,53.34682926829268,52.4230487804878,62.53999999999999,46.00121951219512,6.106186954681334,62.53999999999999,31.089999999999996,34.08
AI Prompt-Iterative,3,4,48.3060975609756,50.3060975609756,50.3060975609756,42.30609756097561,3.4641016151377517,62.53999999999999,29.6,30.1
AI Prompt-Iterative,4,4,50.3060975609756,50.3060975609756,50.3060975609756,50.3060975609756,0.0,62.53999999999999,30.1,30.1
